Facility Name,Registration No,License Number,Ownership,License Type,Establishment Year,Street,County,Licence Status,Facility Status,Valid Till
NAIROBI ENTERPRISES LTD (Nairobi),PPB/N/022,BU202606630,PRIVATE COMPANY (LIMITED),WHOLESALE,2015,OLD MOMBASA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
NAIROBI PHARMACEUTICALS (K) LTD - Laxicon Court (Nairobi),PPB/N/79,BU202602868,PARTNERSHIP,WHOLESALE,0000,Shwamanariyan Road,Nairobi,VALID,ACTIVE,2026-12-31
NATIONAL PHARMACY LTD (Nairobi),PPB/N/80,BU202603889,SOLE PROPRIETOR,WHOLESALE,0000,"Off Mombasa Road, Behind Nice And Lovely park,",Nairobi,VALID,ACTIVE,2026-12-31
NEEM PHARMACY COMPANY LIMITED (Nairobi),PPB/N/948,BU202605766,PRIVATE COMPANY (LIMITED),WHOLESALE,2006,GITANGA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
NETEL ENTERPRISES LIMITED,PPB/N/1602,BU202607806,PRIVATE COMPANY (LIMITED),WHOLESALE,2016,HARAMBEE AVENUE,,VALID,ACTIVE,2026-12-31
NEXTGEN PHARMACEUTICALS (K) LTD (Nairobi),PPB/N/898,BU202607138,PRIVATE COMPANY (LIMITED),WHOLESALE,2013,KAREN ROAD,Nairobi,VALID,ACTIVE,2026-12-31
NICKPHARM LIMITED (Nairobi),PPB/N/373,BU202600018,PRIVATE COMPANY (LIMITED),WHOLESALE,2010,ACCRA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
NILA PHARMACEUTICALS LTD - MEPALUX PLAZA (Nairobi),PPB/N/132 A,BU202607909,PRIVATE COMPANY (LIMITED),WHOLESALE,2000,RIVER ROAD,Nairobi,VALID,ACTIVE,2026-12-31
NILA PHARMACEUTICALS LTD- BABA DOGO (Nairobi),PPB/N/1063,BU202602312,PRIVATE COMPANY (LIMITED),WHOLESALE,2000,BABA DOGO ROAD 2,Nairobi,VALID,ACTIVE,2026-12-31
NJIMIA PHARMACEUTICALS LTD- POKOMO ROAD (Nairobi),PPB/N/916,BU202607690,PRIVATE COMPANY (LIMITED),WHOLESALE,2001,SHIMO LA TEWA ROAD OFF LUSAKA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
NOOR DYNAMIC TRADING LIMITED,PPB/N/1784,BU202604137,PRIVATE COMPANY (LIMITED),WHOLESALE,2025,WABERA,,VALID,ACTIVE,2026-12-31
NORTHGATE PHARMACEUTICALS LTD,PPB/N/1574,BU202603361,PRIVATE COMPANY (LIMITED),WHOLESALE,2015,MAI MAHIU ROAD,Nairobi,VALID,ACTIVE,2026-12-31
NVS KENYA LTD (Nairobi),PPB/N/116,BU202600030,PRIVATE COMPANY (LIMITED),WHOLESALE,1996,HOSPITAL ROAD,Nairobi,VALID,ACTIVE,2026-12-31
OMAERA PHARMACEUTICALS LTD (Nairobi),PPB/O/3 A,BU202607753,PRIVATE COMPANY (LIMITED),WHOLESALE,2013,BABA DOGO ROAD,Nairobi,VALID,ACTIVE,2026-12-31
OMILIFE LIMITED (Nairobi),PPB/O/1071,BU202606334,PRIVATE COMPANY (LIMITED),WHOLESALE,2022,CRESCENT ROAD -  GATE 13,Nairobi,VALID,ACTIVE,2026-12-31
ONCERA PHARMACEUTICALS LTD,PPB/O/1164,BU202605713,PRIVATE COMPANY (LIMITED),WHOLESALE,2024,GREENVIEW,,VALID,ACTIVE,2026-12-31
ONCOPHARM KENYA LIMITED (Nairobi),PPB/O/1144,BU202607755,PRIVATE COMPANY (LIMITED),WHOLESALE,2023,RING ROAD PARKLANDS,Nairobi,VALID,ACTIVE,2026-12-31
OPERA PHARMA (K) LTD (Nairobi),PPB/O/95,BU202606015,PRIVATE COMPANY (LIMITED),WHOLESALE,2013,MOMBASA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
ORIGENS LTD (Nairobi),PPB/O/284,BU202606017,PRIVATE COMPANY (LIMITED),WHOLESALE,2014,MOMBASA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
OXIMIO LIMITED (Kiambu),PPB/O/397,BU202603840,PRIVATE COMPANY (LIMITED),WHOLESALE,2021,ELDORET - MALABA ROAD,Kiambu,VALID,ACTIVE,2026-12-31
PAIN PAST LTD (Kiambu),PPB/P/4877,BU202605755,PRIVATE COMPANY (LIMITED),WHOLESALE,2022,LIMURU ROAD,Nairobi,VALID,ACTIVE,2026-12-31
PAN PHARMACEUTICALS LTD (Nairobi),PPB/P/087,BU202602318,PARTNERSHIP,WHOLESALE,1915,CHIROMO ROAD,Nairobi,VALID,ACTIVE,2026-12-31
PATRAS PHARMACY LTD (Kiambu),PPB/P/1981,BU202600580,PRIVATE COMPANY (LIMITED),WHOLESALE,2018,KAMAE,Kiambu,VALID,ACTIVE,2026-12-31
PEFRIC (E.A) LIMITED (Nairobi),PPB/P/2181,BU202605772,PRIVATE COMPANY (LIMITED),WHOLESALE,2021,SILANGA ROAD,Machakos,VALID,ACTIVE,2026-12-31
PFIZER LABORATORIES LTD (Nairobi),PPB/P/84,BU202604080,PRIVATE COMPANY (LIMITED),WHOLESALE,1957,STATE HOUSE CRESCENT  ROAD,Nairobi,VALID,ACTIVE,2026-12-31
PHARMA BRANDING LTD (Nairobi),None,BU202605752,PRIVATE COMPANY (LIMITED),WHOLESALE,2011,3RD PARKLANDS AVENUE,Nairobi,VALID,ACTIVE,2026-12-31
PHARMA PARLOR (Siaya),PPB/P/2103,BU202606600,SOLE PROPRIETOR,WHOLESALE,2020,MARKET STREET,Siaya,VALID,ACTIVE,2026-12-31
PHARMA SHARE SUPPLIES LTD (Nairobi),PPB/P/2168,BU202607757,PRIVATE COMPANY (LIMITED),WHOLESALE,2008,"RUARAKA, BABA DOGO ROAD",Nairobi,VALID,ACTIVE,2026-12-31
PHARMA SPECIALITIES LTD (Nairobi),PPB/P/110,BU202604747,PRIVATE COMPANY (LIMITED),WHOLESALE,2000,MOMBASA RD,Nairobi,VALID,ACTIVE,2026-12-31
PHARMACITY PHARMACEUTICALS LIMITED (Mombasa),PPB/P/2095,BU202603731,PRIVATE COMPANY (LIMITED),WHOLESALE,2023,NKRUMAH,Mombasa,VALID,ACTIVE,2026-12-31
PHARMAKEN LTD (Mombasa),PPB/P/158,BU202605820,PRIVATE COMPANY (LIMITED),WHOLESALE,2018,LINKS RD,Mombasa,VALID,ACTIVE,2026-12-31
PHARMAPLUS PHARMACEUTICALS LTD - SUBARU KENYA (Nairobi),PPB/P/1959,BU202604555,PRIVATE COMPANY (LIMITED),WHOLESALE,2008,MOMBASA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
PHARMASELL LTD (Nairobi),PPB/P/242,BU202607145,SOLE PROPRIETOR,WHOLESALE,1914,MOMBASA RD,Nairobi,VALID,ACTIVE,2026-12-31
PHILAN PHARMA (E.A) LIMITED,PPB/P/5114,BU202604388,PRIVATE COMPANY (LIMITED),WHOLESALE,2025,PARKLANDS ROAD,,VALID,ACTIVE,2026-12-31
PHILLIPS HEALTHCARE SERVICES LTD (Nairobi),PPB/P/220,BU202602888,PRIVATE COMPANY (LIMITED),WHOLESALE,2000,MOMBASA RD,Nairobi,VALID,ACTIVE,2026-12-31
