Facility Name,Registration No,License Number,Ownership,License Type,Establishment Year,Street,County,Licence Status,Facility Status,Valid Till
SYNER-MEDICA (K) LTD (Nairobi),PPB/S/303,BU202600041,PRIVATE COMPANY (LIMITED),WHOLESALE,1914,OFF MASAI RD,Nairobi,VALID,ACTIVE,2026-12-31
TANN AIR AMBULANCE LIMITED,PPB/T/6104,BU202607004,PRIVATE COMPANY (LIMITED),WHOLESALE,2022,PARKLANDS ROAD,,VALID,ACTIVE,2026-12-31
THE EAH CARE LIMITED,PPB/E/1395,BU202607178,PRIVATE COMPANY (LIMITED),WHOLESALE,2020,Baba Dogo Road,Nairobi,VALID,ACTIVE,2026-12-31
THERALIFE PHARMA LTD,PPB/T/6102,BU202600114,PRIVATE COMPANY (LIMITED),WHOLESALE,2025,BABADOGO ROAD,,VALID,ACTIVE,2026-12-31
TIBA HEALTHCARE LIMITED (Nairobi),PPB/T/5430,BU202607122,PRIVATE COMPANY (LIMITED),WHOLESALE,2015,MOMBASA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
TOPSTONE PHARMA LIMITED (Nairobi),PPB/T/5755,BU202605715,PRIVATE COMPANY (LIMITED),WHOLESALE,2022,BABA DOGO,Nairobi,VALID,ACTIVE,2026-12-31
TOWFIQ KENYA LIMITED (Nairobi),PPB/T/5330,BU202606566,PRIVATE COMPANY (LIMITED),WHOLESALE,2002,LIKONI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
TRANSWIDE PHARMACEUTICALS LIMITED - BABA DOGO (Nairobi),PPB/T/401,BU202607599,PRIVATE COMPANY (LIMITED),WHOLESALE,1994,THIKA ROAD- OUTER RING JUNCTION,Nairobi,VALID,ACTIVE,2026-12-31
TRIDEM PHARMA KENYA LTD (Nairobi),PPB/T/5501,BU202603647,PRIVATE COMPANY (LIMITED),WHOLESALE,2019,OFF MOMBASA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
TWOKAY CHEMICALS LIMITED (Nairobi),PPB/T/73,BU202600007,PARTNERSHIP,WHOLESALE,1914,KIJABE,Nairobi,VALID,ACTIVE,2026-12-31
