Facility Name,Registration No,License Number,Ownership,Establishment Year,Street,County,Licence Status,Facility Status,Valid Till
CONNECTIONS DESPENSING CHEMIST LTD (Nairobi),PPB/C/231,BU202600797,PRIVATE COMPANY (LIMITED),2010,OFF OUTERING RD,Nairobi,VALID,ACTIVE,2026-12-31
CONTICARE PHARMACY (Nandi),PPB/C/1283,BU202601341,SOLE PROPRIETOR,2015,EQUITY BANK STREET,Nandi,VALID,ACTIVE,2026-12-31
CONTRACT PHARMACEUTICALS -KENYA (Machakos),PPB/C/311,BU202600332,PARTNERSHIP,1914,MAKADARA NYAMBURA,Machakos,VALID,ACTIVE,2026-12-31
CORA PHARMACY,PPB/C/9439,BU202602476,SOLE PROPRIETOR,2024,KARUGURU ROAD,,VALID,ACTIVE,2026-12-31
CORNBELT PHARMACY (Trans Nzoia),PPB/C/117,BU202600207,SOLE PROPRIETOR,2013,LAINI MOJA,Trans Nzoia,VALID,ACTIVE,2026-12-31
CORNER MBUTA PHARMACY (Kisumu),PPB/C/1481,BU202604169,SOLE PROPRIETOR,2017,CORNER MBUTA,Kisumu,VALID,ACTIVE,2026-12-31
CORNER PHARMACY LIMITED (Nairobi),PPB/C/167,BU202600262,SOLE PROPRIETOR,2008,STREET PARKLANDS ROAD,Nairobi,VALID,ACTIVE,2026-12-31
CORNER-ONE PHARMACY (Kiambu),PPB/C/1273,BU202600816,SOLE PROPRIETOR,2015,ATHENA- KIGANJO ROAD,Kiambu,VALID,ACTIVE,2026-12-31
CORNWALL PHARMACY,PPB/C/9484,BU202606310,SOLE PROPRIETOR,2024,OLOLUA ROAD,,VALID,ACTIVE,2026-12-31
COSAN CHEMIST (Nakuru),PPB/C/1301,BU202600650,SOLE PROPRIETOR,2016,KIBUNJA ROAD,Nakuru,VALID,ACTIVE,2026-12-31
COSARA CHEMIST,PPB/C/9366,BU202602164,PARTNERSHIP,2024,RONGO-HOMABAY ROAD,,VALID,ACTIVE,2026-12-31
COSIGN CHEMIST (Nairobi),PPB/C/1463,BU202602074,SOLE PROPRIETOR,2018,KIKUYU ROAD,Nairobi,VALID,ACTIVE,2026-12-31
COSMOPOLITAN CHEMIST,PPB/C/9489,BU202600984,SOLE PROPRIETOR,2014,ELDORET-ITEN ROAD,,VALID,ACTIVE,2026-12-31
COSTON PHARMACY,PPB/C/9354,BU202605298,SOLE PROPRIETOR,2023,JOMO KENYATA AVENUE,,VALID,ACTIVE,2026-12-31
COUNTERPLUS INVESTMENT  LIMITED,PPB/C/9455,BU202601487,PARTNERSHIP,2025,HOSPITAL ROAD,,VALID,ACTIVE,2026-12-31
COUNTY DAWA CENTRE - KUTUS (Kirinyaga),PPB/C/387,BU202601197,PRIVATE COMPANY (LIMITED),2007,MAIN STREET,Kirinyaga,VALID,ACTIVE,2026-12-31
CRANE BIRD CHEMIST AND CLINIC (Kericho),PPB/C/354,BU202604259,PARTNERSHIP,2014,FORT TERNAN RD,Kericho,VALID,ACTIVE,2026-12-31
CRATER PHARMACEUTICALS LTD (Nakuru),PPB/C/88,BU202600765,PRIVATE COMPANY (LIMITED),2014,KENYATTA AV.,Nakuru,VALID,ACTIVE,2026-12-31
CRATERLINK PHARMACEUTICAL AND SURGICALS,PPB/C/9434,BU202604858,SOLE PROPRIETOR,2024,OTHAYA ROAD,,VALID,ACTIVE,2026-12-31
CRAYSON PHARMACY JKIA,PPB/C/9309,BU202602286,SOLE PROPRIETOR,2023,JKIA TERMINAL 1C,Nairobi,VALID,ACTIVE,2026-12-31
CRAYSON PHARMACY KIAMBU,PPB/C/9358,BU202607423,PARTNERSHIP,2020,KIAMBU RD,,VALID,ACTIVE,2026-12-31
CRAYSON PHARMACY MOIA MOMBASA,PPB/C/9464,BU202602228,PARTNERSHIP,2024,MOI AIRPORT,,VALID,ACTIVE,2026-12-31
CREATION PHARMACY NYAHURURU (Laikipia),PPB/C/059,BU202601153,SOLE PROPRIETOR,1997,ALONG HOSPITAL ROAD,Laikipia,VALID,ACTIVE,2026-12-31
CRESCENT PHARMACY  (Elgeyo Marakwet),PPB/C/9304,BU202602267,SOLE PROPRIETOR,2023,ELDORET-ITEN ROAD,Elgeyo Marakwet,VALID,ACTIVE,2026-12-31
CRESIB PHARMACEUTICALS (Nairobi),None,BU202607680,PRIVATE COMPANY (LIMITED),,,Nairobi,VALID,ACTIVE,2026-12-31
CRESTSCAPE PHARMACY-OL-KALAU,PPB/C/9422,BU202600509,SOLE PROPRIETOR,2024,KIRIMA - SHAMATA RD,,VALID,ACTIVE,2026-12-31
CRISTABEL PHARMCHEM,PPB/C/9480,BU202604193,SOLE PROPRIETOR,2025,NAEKANA TAVETA STAGE,,VALID,ACTIVE,2026-12-31
CROSSAL CHEMICAL SERVICES (Nairobi),PPB/C/1286,BU202604826,SOLE PROPRIETOR,2015,KAREN NGONG ROAD,Nairobi,VALID,ACTIVE,2026-12-31
CROSWELL PHARMACY LIMITED.,PPB/C/9513,BU202605949,PRIVATE COMPANY (LIMITED),2025,ACCRA ROAD,,VALID,ACTIVE,2026-12-31
CROWNCY PHARMCARE,PPB/C/9205,BU202600891,SOLE PROPRIETOR,2022,NDORI BONDO,Siaya,VALID,ACTIVE,2026-12-31
CURALEAF PHARMACY LIMITED (Nairobi),PPB/C/9510,BU202605279,PRIVATE COMPANY (LIMITED),2025,LANGATA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
CURAR CHEMIST (Kiambu),PPB/C/255,BU202602938,SOLE PROPRIETOR,2012,KIGANJO ROAD,Kiambu,VALID,ACTIVE,2026-12-31
CURECODE PHARMACY,PPB/C/9409,BU202600049,SOLE PROPRIETOR,2024,ZIMMERMAN ROAD,,VALID,ACTIVE,2026-12-31
CUREMART PHARMACY,PPB/C/9401,BU202603264,SOLE PROPRIETOR,2024,KAKAMEGA-KISUMU ROAD,,VALID,ACTIVE,2026-12-31
CURENEST CHEMIST,PPB/C/9390,BU202602697,SOLE PROPRIETOR,2024,LIMOA ROAD,,VALID,ACTIVE,2026-12-31
CUREPOINT GITHURAI CHEMIST (Kiambu),PPB/C/9159,BU202603841,SOLE PROPRIETOR,2021,GITHURAI ROAD,Kiambu,VALID,ACTIVE,2026-12-31
CURESPHERE PHARMACY,PPB/C/9440,BU202602703,SOLE PROPRIETOR,2024,THIKA ROAD,,VALID,ACTIVE,2026-12-31
CUSTOCARE CHEMIST,PPB/C/9443,BU202604911,SOLE PROPRIETOR,2024,MUKUYUNI-MFUPI ROAD,,VALID,ACTIVE,2026-12-31
CVS PHARMACEUTICALS LIMITED (Nairobi),PPB/C/9426,BU202604602,PRIVATE COMPANY (LIMITED),2022,HAILE SELASSIE,Nairobi,VALID,ACTIVE,2026-12-31
CYCLONE CHEMIST (Taita Taveta),PPB/C/1442,BU202601396,SOLE PROPRIETOR,2018,MAZERA,Taita Taveta,VALID,ACTIVE,2026-12-31
CYMICAS CHEMIST- TULIA (Kitui),PPB/C/0429,BU202604957,SOLE PROPRIETOR,2015,KABATI-MIGWANI ROAD,Kitui,VALID,ACTIVE,2026-12-31
CYPRUS PHARMACEUTICALS  (Mombasa),PPB/C/371,BU202607564,SOLE PROPRIETOR,2014,MAGONGO,Mombasa,VALID,ACTIVE,2026-12-31
DACA CHEMIST -RONGAI (Kajiado),PPB/D/19,BU202604425,SOLE PROPRIETOR,2005,MAGADI ROAD,Kajiado,VALID,ACTIVE,2026-12-31
DAEL PHARMACY,PPB/D/3300,BU202601238,SOLE PROPRIETOR,2023,TUMUTUMU ROAD,Nyeri,VALID,ACTIVE,2026-12-31
DAFPHARM CHEMIST (Siaya),PPB/D/2199,BU202606264,SOLE PROPRIETOR,2018,KISUMU - BUSIA RD,Siaya,VALID,ACTIVE,2026-12-31
DAGAN CHEMIST (Machakos),PPB/D/2248,BU202601410,SOLE PROPRIETOR,2020,NYAMBURA-SLOTA,Machakos,VALID,ACTIVE,2026-12-31
DAGIL COMMUNITY CHEMIST,PPB/D/3312,BU202601882,SOLE PROPRIETOR,2023,KYOGONG-SIGOR,Bomet,VALID,ACTIVE,2026-12-31
DAHLIA PHARMACY LIMITED (Nairobi),PPB/D/2288,BU202602985,PRIVATE COMPANY (LIMITED),2021,NGONG ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DAHLIA PHARMACY LTD RIARA,PPB/D/3321,BU202602987,PRIVATE COMPANY (LIMITED),2021,RIARA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DAILYTHERAPY PHARMACY (Murang'a),PPB/D/2267,BU202607519,SOLE PROPRIETOR,2020,KANGARI MAIRI ROAD,Murang'a,VALID,ACTIVE,2026-12-31
DAIMA DISPENSING CHEMIST LTD - THIKA -RETAIL (Kiambu),PPB/D/255,BU202602976,SOLE PROPRIETOR,2012,COMMERCIAL ROAD,Kiambu,VALID,ACTIVE,2026-12-31
DAIMA DISPENSING CHEMIST LTD- MAKUTANO MERU,PPB/D/3221,BU202604744,PRIVATE COMPANY (LIMITED),2022,MERU-MAUA ROAD,Meru,VALID,ACTIVE,2026-12-31
DAIMA DISPENSING CHEMIST LTD- MOI AVENUE (Nairobi),PPB/D/2332,BU202605165,PRIVATE COMPANY (LIMITED),2021,MOI AVENUE,Nairobi,VALID,ACTIVE,2026-12-31
DAIMA UWAZI PHARMACY,PPB/D/3404,BU202600991,SOLE PROPRIETOR,2024,HASSAN WERE STREET,,VALID,ACTIVE,2026-12-31
DAINTY VIEW PHARMACY (Kiambu),PPB/D/2225,BU202604653,SOLE PROPRIETOR,2019,THINDIGUA HIGHWAY ROAD,Kiambu,VALID,ACTIVE,2026-12-31
DAISA CHEMIST (Laikipia),PPB/D/0326,BU202603729,SOLE PROPRIETOR,2014,,Meru,VALID,ACTIVE,2026-12-31
DAJIM PHARMACY (Nairobi),PPB/D/97,BU202602012,PRIVATE COMPANY (LIMITED),2007,NAIVASHA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DAKICHEM PHARMACY (Kiambu),PPB/D/213,BU202602801,SOLE PROPRIETOR,1914,,Kiambu,VALID,ACTIVE,2026-12-31
DAKIKA PHARMACEUTICALS LTD,PPB/D/3330,BU202601901,PRIVATE COMPANY (LIMITED),2023,TOM MBOYA,Meru,VALID,ACTIVE,2026-12-31
DAKIMS PHARMACY (Kiambu),PPB/D/2268,BU202600351,SOLE PROPRIETOR,2020,GARISSA ROAD,Kiambu,VALID,ACTIVE,2026-12-31
DAKKO CHEMIST (Kisii),PPB/D/2132,BU202602438,SOLE PROPRIETOR,2016,NYAMBUNWA,Kisii,VALID,ACTIVE,2026-12-31
DAKOM CHEMIST (Uasin Gishu),PPB/D/2135,BU202605801,SOLE PROPRIETOR,2017,ELDORET-RAVINE ROAD,Uasin Gishu,VALID,ACTIVE,2026-12-31
DALAYLA CHEMIST (Machakos),PPB/J/338,BU202604775,SOLE PROPRIETOR,2014,MSA RD,Machakos,VALID,ACTIVE,2026-12-31
DALEY PHARMACY (Nakuru),PPB/D/188,BU202602740,SOLE PROPRIETOR,2011,MBARIA KANUI ROAD,Nakuru,VALID,ACTIVE,2026-12-31
DALINA PHARMACY (Kitui),PPB/D/236,BU202603786,SOLE PROPRIETOR,1914,,Kitui,VALID,ACTIVE,2026-12-31
DALLAS CHEMIST (Meru),PPB/D/305,BU202606245,SOLE PROPRIETOR,2014,MERU-NRB H/W,Meru,VALID,ACTIVE,2026-12-31
DALNURSHE PHARMACEUTICAL LTD,PPB/D/3466,BU202605818,SOLE PROPRIETOR,2023,OPPOSITE REFERRAL,,VALID,ACTIVE,2026-12-31
DALVIN PHARMACY,PPB/D/3496,BU202605619,PARTNERSHIP,2025,ELDORET-KANDUYI- MALABA ROAD,,VALID,ACTIVE,2026-12-31
DAMASTEEN PHARMACEUTICALS (Kilifi),PPB/D/2115,BU202601186,SOLE PROPRIETOR,2017,POSTA RD,Kilifi,VALID,ACTIVE,2026-12-31
DAMCARE PHARMACEUTICALS LIMITED (Nairobi),PPB/D/2253,BU202603655,PRIVATE COMPANY (LIMITED),2020,MWANGAZA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DAMCARE PHARMACEUTICALS LIMITED -NASRA,PPB/D/3333,BU202600483,PARTNERSHIP,2019,SPINE ROAD,,VALID,ACTIVE,2026-12-31
DAMETT CHEMIST (Kisii),PPB/D/2259,BU202600304,SOLE PROPRIETOR,2019,SANSORA ROAD,Kisii,VALID,ACTIVE,2026-12-31
DAMOX CHEMIST (Kiambu),PPB/D/278,BU202600324,SOLE PROPRIETOR,2013,GIKUNI ROAD,Kiambu,VALID,ACTIVE,2026-12-31
DAMUKU PHARMACEUTICALS LTD (Nairobi),PPB/D/2220,BU202604242,PRIVATE COMPANY (LIMITED),2019,ST. VERONICA CATHOLIC CHURCH,Nairobi,VALID,ACTIVE,2026-12-31
DAMVAR PHARMACY,PPB/D/3367,BU202602903,SOLE PROPRIETOR,2024,MALINDI ROAD,,VALID,ACTIVE,2026-12-31
DAMWA CHEMISTS (Kiambu),PPB/D/2036,BU202600690,SOLE PROPRIETOR,2016,KIGANJO CORNER 2,Kiambu,VALID,ACTIVE,2026-12-31
DANA PHARMA-CHEMICALS (Kisii),PPB/D/317,BU202605431,SOLE PROPRIETOR,2014,HOSPITAL RD,Kisii,VALID,ACTIVE,2026-12-31
DANCHEM HEALTHCARE- MAKONGENI,PPB/D/3385,BU202603538,SOLE PROPRIETOR,2024,GARISSA KIVULINI  ROAD,,VALID,ACTIVE,2026-12-31
DANCHEM PHARMACY LIMITED - NAIROBI CBD (Nairobi),PPB/D/48,BU202604717,PRIVATE COMPANY (LIMITED),1998,DURUMA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DANFLOB CHEMIST (Homa Bay),PPB/D/2206,BU202602704,SOLE PROPRIETOR,2018,OYUGIS-KISUMU,Homa Bay,VALID,ACTIVE,2026-12-31
DANIIL CHEMIST (Kiambu),PPB/D/2172,BU202607299,SOLE PROPRIETOR,2017,BIASHARA STREET,Kiambu,VALID,ACTIVE,2026-12-31
DANIMAX PHARMACY,PPB/D/3289,BU202607698,SOLE PROPRIETOR,2022,ELDORET-BUNGOMA HIGHWAY,Bungoma,VALID,ACTIVE,2026-12-31
DANIPHARM PHARMACY,PPB/D/3281,BU202600850,SOLE PROPRIETOR,2022,MURAMATI ROAD,Kiambu,VALID,ACTIVE,2026-12-31
DANKA CHEMIST (Murang'a),PPB/D/2105,BU202600540,SOLE PROPRIETOR,2017,MARAGUA MARKET ROAD,Murang'a,VALID,ACTIVE,2026-12-31
DANKOM PHARMACEUTICALS LTD (Tana River),PPB/D/2312,BU202602365,PARTNERSHIP,2021,HOLA 1,Tana River,VALID,ACTIVE,2026-12-31
DANLOMED CHEMIST,PPB/D/3418,BU202601042,SOLE PROPRIETOR,2024,KIKUYU WANGIGE,,VALID,ACTIVE,2026-12-31
DANMED PHARMACY (Bungoma),PPB/D/2067,BU202602330,SOLE PROPRIETOR,2016,BUNGOMA KANDUYI ROAD,Bungoma,VALID,ACTIVE,2026-12-31
DANNES PHARMACY LTD - UTAWALA (Nairobi),PPB/D/065 C,BU202605220,PRIVATE COMPANY (LIMITED),1914,UTAWALA RD,Nairobi,VALID,ACTIVE,2026-12-31
DANOPT CHEMIST-MERU,PPB/D/3443,BU202606229,SOLE PROPRIETOR,2025,MERU MAKUTANO ROAD,,VALID,ACTIVE,2026-12-31
DANREX PHARMACY LIMITED (Kiambu),PPB/D/2290,BU202603785,PARTNERSHIP,2020,UHURU STREET,Kiambu,VALID,ACTIVE,2026-12-31
DANSON CHEMIST,PPB/D/3441,BU202601184,SOLE PROPRIETOR,2025,HUNTERS ROAD,,VALID,ACTIVE,2026-12-31
DANTON PHARMACY LTD  (Nairobi),PPB/D/2256,BU202602026,PARTNERSHIP,2018,EMBAKASI ROAD/BY PASS,Nairobi,VALID,ACTIVE,2026-12-31
DANTON PHARMACY LTD KIBOKO MAKINDU,PPB/D/3347,BU202600048,PARTNERSHIP,2018,BIASHARA STREET,,VALID,ACTIVE,2026-12-31
DANTRIO PHARMACY LIMITED,PPB/D/3357,BU202603005,PRIVATE COMPANY (LIMITED),2024,LANDHIES,,VALID,ACTIVE,2026-12-31
DANWIN PHARMACY,PPB/D/3356,BU202604477,SOLE PROPRIETOR,2024,NANYUKI-NAIROBI,,VALID,ACTIVE,2026-12-31
DANWOW PHARMACY,PPB/D/3423,BU202606800,SOLE PROPRIETOR,2024,KAGIO ROAD,,VALID,ACTIVE,2026-12-31
DARAD PHARMACY,PPB/D/3421,BU202605469,SOLE PROPRIETOR,2024,DIANI BEACH ROAD,,VALID,ACTIVE,2026-12-31
DARLIC HEALTH CARE,PPB/D/3495,BU202605510,SOLE PROPRIETOR,2024,KISUMU - HIGHWAY,,VALID,ACTIVE,2026-12-31
DARNOPHARM CHEMIST (Nairobi),PPB/D/2128,BU202604522,SOLE PROPRIETOR,2017,KAMUNDE ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DAROMA CHEMIST (Nairobi),PPB/D/2123,BU202605561,SOLE PROPRIETOR,2017,LANDHIES ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DARU SALAM PHARMACEUTICALS & MEDICAL CENTRE.,PPB/D/3311,BU202603008,PRIVATE COMPANY (LIMITED),2023,KIRONGOTHI STREET,Nairobi,VALID,ACTIVE,2026-12-31
DARWA PHARMACY (Kiambu),PPB/D/2057,BU202605937,SOLE PROPRIETOR,2016,RUIRI-GITHUNGURI,Kiambu,VALID,ACTIVE,2026-12-31
DARWIN PHARMACY,PPB/D/3340,BU202606580,SOLE PROPRIETOR,2024,MARINE ROAD,,VALID,ACTIVE,2026-12-31
DASAO PHARMACEUTICALS (Homa Bay),PPB/D/2228,BU202604716,SOLE PROPRIETOR,2019,,Homa Bay,VALID,ACTIVE,2026-12-31
DASPHARM CHEMISTS (Machakos),PPB/D/2194,BU202607602,SOLE PROPRIETOR,2018,KMC ROAD,Machakos,VALID,ACTIVE,2026-12-31
DASTE CLINIC PHARMACY (Kajiado),PPB/D/3337,BU202600958,SOLE PROPRIETOR,2023,KIBIKU ROAD,Kajiado,VALID,ACTIVE,2026-12-31
DAVE PHARMACY - KIANYAGA (Kirinyaga),PPB/D/45,BU202603970,PRIVATE COMPANY (LIMITED),2007,N/A,Kirinyaga,VALID,ACTIVE,2026-12-31
DAVELIN PHARMACY (Bungoma),PPB/D/2243,BU202606593,PARTNERSHIP,2020,BUNGOMA- MUMIAS ROAD,Bungoma,VALID,ACTIVE,2026-12-31
DAVICA PHARMACY,PPB/D/3297,BU202606963,SOLE PROPRIETOR,2023,RUMURUTI NYAHURURU,Laikipia,VALID,ACTIVE,2026-12-31
DAVIDA CHEMIST,PPB/D/3240,BU202600449,SOLE PROPRIETOR,2020,MOMBASA ROAD - SAGALA ROAD JUNCTION (KAS,Taita Taveta,VALID,ACTIVE,2026-12-31
DAVISTER PHARMACEUTICAL LIMITED,PPB/D/3477,BU202606097,SOLE PROPRIETOR,2025,SEASONS,,VALID,ACTIVE,2026-12-31
DAVRY PHARMACEUTICALS LIMITED (Nairobi),PPB/D/062,BU202601246,SOLE PROPRIETOR,2004,GITANGA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DAWA CLICK PHARMACY  (Kisumu),PPB/D/2296,BU202602390,PARTNERSHIP,2021,NAIROBI ROAD,Kisumu,VALID,ACTIVE,2026-12-31
DAWA LINK CHEMIST,PPB/D/3484,BU202606336,SOLE PROPRIETOR,2025,MAKINA NEAR KIBERA LAW COURT,,VALID,ACTIVE,2026-12-31
DAWACHOICE PHARMACEUTICALS (Kisii),PPB/C/176,BU202606293,SOLE PROPRIETOR,2018,HOSPITA ROAD,Kisii,VALID,ACTIVE,2026-12-31
DAWAFAIR PHARMACY (Meru),PPB/D/312,BU202606781,SOLE PROPRIETOR,2014,,Meru,VALID,ACTIVE,2026-12-31
DAWAFEED CHEMIST,PPB/D/3237,BU202602057,PARTNERSHIP,2022,KANYAKWAR,Kisumu,VALID,ACTIVE,2026-12-31
DAWAFIT LTD,PPB/D/2349,BU202607706,PRIVATE COMPANY (LIMITED),2021,DONHOLM ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DAWAK AFYA PHARMACY-THIKA,PPB/D/2354,BU202604814,SOLE PROPRIETOR,2022,OFF THIKA GARISSA ROAD,Kiambu,VALID,ACTIVE,2026-12-31
DAWAKIN CHEMIST (Nakuru),PPB/D/281,BU202604785,SOLE PROPRIETOR,2013,MAI MAHIU NAIVASHA RD,Nakuru,VALID,ACTIVE,2026-12-31
DAWAKING PHARMACY,PPB/D/3485,BU202602746,SOLE PROPRIETOR,2025,JUJA FARM,,VALID,ACTIVE,2026-12-31
DAWALAND CHEMIST (Kilifi),PPB/D/282,BU202604649,SOLE PROPRIETOR,2013,BARICHO -KAGIO RD,Kirinyaga,VALID,ACTIVE,2026-12-31
DAWALEN CHEMIST (Siaya),PPB/D/2169,BU202601795,SOLE PROPRIETOR,2017,ALONG BONDO UYAWI ROAD,Siaya,VALID,ACTIVE,2026-12-31
DAWALINE HEALTHCARE LTD (Kiambu),PPB/D/040,BU202607264,PRIVATE COMPANY (LIMITED),2017,MATHIGU ROAD,Kiambu,VALID,ACTIVE,2026-12-31
DAWALITE CHEMIST,PPB/D/3244,BU202604592,SOLE PROPRIETOR,2006,NAKURU-KABARAK ROAD,Nakuru,VALID,ACTIVE,2026-12-31
DAWAPAP LIMITED (Nairobi),PPB/D/3483,BU202607209,PRIVATE COMPANY (LIMITED),2025,MOI AVENUE,Nairobi,VALID,ACTIVE,2026-12-31
DAWAPHARM CHEMIST (Murang'a),PPB/D/193,BU202604452,SOLE PROPRIETOR,2011,SABA SABA,Murang'a,VALID,ACTIVE,2026-12-31
DAWAPLUS MIDAS  CHEMIST (Migori),PPB/D/2060,BU202604394,SOLE PROPRIETOR,2016,MIGORI SIRARE HIGHWAY,Migori,VALID,ACTIVE,2026-12-31
DAWAPOINT CHEMISTS (Kisumu),PPB/D/2121,BU202602383,PARTNERSHIP,2017,KISUMU- NAIROBI ROAD,Kisumu,VALID,ACTIVE,2026-12-31
DAWAPOINT PHARMACEUTICALS (Kwale),PPB/D/264,BU202601009,PARTNERSHIP,2011,MOMBASA - LUNGA LUNGA RD,Kwale,VALID,ACTIVE,2026-12-31
DAWARX WELLNESS PHARMACY,PPB/D/3401,BU202605509,SOLE PROPRIETOR,2024,NAROMORU-MWEIGA ROAD,,VALID,ACTIVE,2026-12-31
DAWATELE PHARMACY (Nyandarua),PPB/D/2042,BU202605972,SOLE PROPRIETOR,2016,NDUNYU NJERU,Nyandarua,VALID,ACTIVE,2026-12-31
DAWATHRO PHARMACY,PPB/D/3433,BU202600348,SOLE PROPRIETOR,2024,WAIYAKI WAY,,VALID,ACTIVE,2026-12-31
DAWAZET & COMPANY LTD,PPB/D/3471,BU202607021,PARTNERSHIP,2025,NGONG RD,,VALID,ACTIVE,2026-12-31
DAWIN CHEMIST (Kitui),PPB/D/2136,BU202601036,SOLE PROPRIETOR,2017,NZELUNI ROAD,Kitui,VALID,ACTIVE,2026-12-31
DAY TO DAY CHEMIST (Kiambu),PPB/D/2328,BU202600619,SOLE PROPRIETOR,2021,JUJA FARM ROAD,Kiambu,VALID,ACTIVE,2026-12-31
DAY- LIFE MODERN PHARMACY,PPB/D/3363,BU202602768,SOLE PROPRIETOR,2023,ALONG KENYA RE STREET,,VALID,ACTIVE,2026-12-31
DAY-LIFE ENROUTE PHARMACY,PPB/D/3279,BU202601927,SOLE PROPRIETOR,2021,9 SECTION,Kiambu,VALID,ACTIVE,2026-12-31
DAYAH PHARMACEUTICALS LTD (Nairobi),PPB/M/8504,BU202604865,PRIVATE COMPANY (LIMITED),2016,WOOD STREET,Nairobi,VALID,ACTIVE,2026-12-31
DAYBREAK PHARMACY LIMITED (Kajiado),PPB/D/3366,BU202605659,SOLE PROPRIETOR,2024,OLEKASASI KANDISI ROAD,Kajiado,VALID,ACTIVE,2026-12-31
DAYLIGHT CHEMIST (Taita Taveta),PPB/D/2119,BU202602569,SOLE PROPRIETOR,2025,VOI STAGE STREET,Taita Taveta,VALID,ACTIVE,2026-12-31
DAYTIME PHARMACY (Kitui),PPB/D/2244,BU202605297,SOLE PROPRIETOR,2019,KABATI MARKET STREET,Kitui,VALID,ACTIVE,2026-12-31
DE-RIGNA DIAGNOSTIC & GENERAL SUPPLIES,PPB/D/3392,BU202603130,PARTNERSHIP,2017,HURUMA ROAD,,VALID,ACTIVE,2026-12-31
DEBAMED PHARMACY,PPB/D/3452,BU202600547,SOLE PROPRIETOR,2025,BARAKA ROAD,,VALID,ACTIVE,2026-12-31
DEBLESS CHEMIST,PPB/D/3361,BU202606910,SOLE PROPRIETOR,2023,KINGDOM SEEKERS ROAD,,VALID,ACTIVE,2026-12-31
DEEGAAN PHARMACY (Garissa),PPB/D/182,BU202600405,PARTNERSHIP,2011,KISMAYO,Garissa,VALID,ACTIVE,2026-12-31
DEEMAT DISPENSING PHARMACY (Machakos),PPB/D/320,BU202604864,SOLE PROPRIETOR,2014,KAKUYUNI MKT,Machakos,VALID,ACTIVE,2026-12-31
DEENIK CHEMIST  (Nakuru),PPB/D/3222,BU202601467,SOLE PROPRIETOR,2014,NAIROBI RD,Nakuru,VALID,ACTIVE,2026-12-31
DEENMED PHARMACY,PPB/D/3256,BU202601805,SOLE PROPRIETOR,2022,MUMIAS ROAD,Bungoma,VALID,ACTIVE,2026-12-31
DEEP SOUTH PHARM,PPB/D/2353,BU202600705,SOLE PROPRIETOR,2021,LUNGA LUNGA ROAD,Kwale,VALID,ACTIVE,2026-12-31
DEFEPE PHARMACY (Kajiado),PPB/D/2318,BU202603590,SOLE PROPRIETOR,2021,KISERIAN NGONG ROAD,Kajiado,VALID,ACTIVE,2026-12-31
DEIANT PHARMACY (Bungoma),PPB/D/2275,BU202605443,SOLE PROPRIETOR,2020,JAMIA ROAD,Bungoma,VALID,ACTIVE,2026-12-31
DEIRA PHARMACY LIMITED-MWANGOLA RD (Mombasa),PPB/D/2044,BU202607594,PRIVATE COMPANY (LIMITED),2006,MWANGOLA,Mombasa,VALID,ACTIVE,2026-12-31
DEKAMU PHARMACEUTICAL (Nakuru),PPB/D/2303,BU202602190,SOLE PROPRIETOR,2016,MAWANGA,Nakuru,VALID,ACTIVE,2026-12-31
DELACHEM PHARMACY,PPB/D/3275,BU202604280,SOLE PROPRIETOR,2022,NYANDO /DO ROAD,,VALID,ACTIVE,2026-12-31
DELAM CHEMIST,PPB/D/3241,BU202602375,SOLE PROPRIETOR,2022,NAIROBI KISERIAN ROAD,Kajiado,VALID,ACTIVE,2026-12-31
DELANTE ENTERPRISE LIMITED (Migori),PPB/D/2084,BU202606871,PRIVATE COMPANY (LIMITED),2016,ROAD TOWARDS THE GOVERNOR'S OFFICE,Migori,VALID,ACTIVE,2026-12-31
DELIDE PHARMACY (Kisumu),PPB/D/283,BU202604344,SOLE PROPRIETOR,2013,MAMBOLEO RD,Kisumu,VALID,ACTIVE,2026-12-31
DELIVERY PHARMACY,PPB/D/3317,BU202606996,SOLE PROPRIETOR,2020,LIMURU ROAD,Kiambu,VALID,ACTIVE,2026-12-31
DELTAT SUPERMEDS CHEMIST (Garissa),PPB/D/189,BU202602811,SOLE PROPRIETOR,2011,UCHUMI,Garissa,VALID,ACTIVE,2026-12-31
DELTON PHARMACEUTICAL LIMITED (Nairobi),PPB/D/2143,BU202602786,PRIVATE COMPANY (LIMITED),2017,RABAI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DEMIANO PHARMACY (Machakos),PPB/D/2251,BU202603849,SOLE PROPRIETOR,2020,MBOLU MALU ROAD,Machakos,VALID,ACTIVE,2026-12-31
