Facility Name,Registration No,License Number,Ownership,Establishment Year,Street,County,Licence Status,Facility Status,Valid Till
SHALYN CHEMIST (Mombasa),PPB/S/845,BU202601416,SOLE PROPRIETOR,2014,BAMBURI ROAD,Mombasa,VALID,ACTIVE,2026-12-31
SHAMCHEM PHARMACEUTICALS LTD - LATEMA RD (Nairobi),PPB/S/204 A,BU202602022,SOLE PROPRIETOR,1914,LATEMA RD,Nairobi,VALID,ACTIVE,2026-12-31
SHAMCHEM PHARMACEUTICALS LTD - MFANGANO STREET (Nairobi),PPB/S/204 B,BU202604944,SOLE PROPRIETOR,1914,MFANGANO STREET,Nairobi,VALID,ACTIVE,2026-12-31
SHAMEDPLUS PHARMACY LIMITED,PPB/S/9392,BU202605962,PARTNERSHIP,2024,COSMAS NDETI,,VALID,ACTIVE,2026-12-31
SHAMITO RETAIL,PPB/S/9295,BU202600859,SOLE PROPRIETOR,2024,ESOIT-KILGORIS,,VALID,ACTIVE,2026-12-31
SHAMMAH CARE CHEMIST,PPB/S/9037,BU202603320,SOLE PROPRIETOR,2022,KIBWEZI KITUI ROAD,Makueni,VALID,ACTIVE,2026-12-31
SHAMMAHPHARM CHEMIST & COSMETICS (Kajiado),PPB/S/865,BU202604527,SOLE PROPRIETOR,2014,GICHARICHA,Kajiado,VALID,ACTIVE,2026-12-31
SHAMSU HEALTHCARE LIMITED (Garissa),PPB/S/183,BU202600391,PRIVATE COMPANY (LIMITED),2013,IJARA RD,Garissa,VALID,ACTIVE,2026-12-31
SHAMSU PHARMACY LIMITED,PPB/S/9259,BU202604866,PRIVATE COMPANY (LIMITED),2023,MASALANI,,VALID,ACTIVE,2026-12-31
SHAMZA ALLIED PHARMACY (Kirinyaga),PPB/S/1429,BU202604444,SOLE PROPRIETOR,2018,KERUGOYA -EMBU,Kirinyaga,VALID,ACTIVE,2026-12-31
SHAN CHEMIST  (Uasin Gishu),PPB/S/9433,BU202600682,SOLE PROPRIETOR,2024,UGANDA ROAD,Uasin Gishu,VALID,ACTIVE,2026-12-31
SHANENVA PHARMACY (Kisii),PPB/S/651,BU202605140,SOLE PROPRIETOR,2014,STAGE,Kisii,VALID,ACTIVE,2026-12-31
SHANMAG PHARMACEUTICALS LIMITED (Bomet),PPB/S/1205,BU202604962,PRIVATE COMPANY (LIMITED),2017,BOMET/KAPLONG,Bomet,VALID,ACTIVE,2026-12-31
SHANTIMA CHEMIST,PPB/S/9361,BU202601303,SOLE PROPRIETOR,2024,KIANJAI - MIATHENE ROAD,,VALID,ACTIVE,2026-12-31
SHANZWI CHEMIST,PPB/S/9371,BU202603347,SOLE PROPRIETOR,2024,KAKAMEGA ROAD,,VALID,ACTIVE,2026-12-31
SHAONA PHARMACEUTICALS LTD (Uasin Gishu),PPB/S/1534,BU202603964,PRIVATE COMPANY (LIMITED),2020,UGANDA,Uasin Gishu,VALID,ACTIVE,2026-12-31
SHARMAKE PHARMACEUTICAL,PPB/S/9427,BU202603950,SOLE PROPRIETOR,2023,SEVEN STREET,,VALID,ACTIVE,2026-12-31
SHARMARKE DRUG MART (Nairobi),PPB/S/1547,BU202604006,PARTNERSHIP,2021,SEVENTH STREET,Nairobi,VALID,ACTIVE,2026-12-31
SHAROMED CHEMIST,PPB/S/9246,BU202603132,SOLE PROPRIETOR,2023,KITUI ROAD,Kitui,VALID,ACTIVE,2026-12-31
SHAROMED DIAGNOSTICS LIMITED,PPB/S/9365,BU202601183,PRIVATE COMPANY (LIMITED),2024,HOSPITAL ROAD,,VALID,ACTIVE,2026-12-31
SHASAL CHEMIST (Bungoma),PPB/S/1636,BU202606801,SOLE PROPRIETOR,2021,KAMUKUYWA TO KITALE,Bungoma,VALID,ACTIVE,2026-12-31
SHATZ PHARMACY WATAMU..,PPB/S/9270,BU202606085,SOLE PROPRIETOR,2024,WATAMU BEACH ROAD,,VALID,ACTIVE,2026-12-31
SHAVIKE CHEMISTS (Meru),PPB/S/1124,BU202601075,SOLE PROPRIETOR,2016,NKUBU,Meru,VALID,ACTIVE,2026-12-31
SHAZAN PHARMACY,PPB/S/9274,BU202600804,SOLE PROPRIETOR,2024,UGANDA ROAD,,VALID,ACTIVE,2026-12-31
SHEILCARE CHEMIST,PPB/S/9513,BU202606864,SOLE PROPRIETOR,2025,ELDORET-SOY NEW HIGHWAY,,VALID,ACTIVE,2026-12-31
Sheldon medical services limited (Kajiado),PPB/N/1065,BU202601352,PRIVATE COMPANY (LIMITED),2018,MAGADI ROAD,Kajiado,VALID,ACTIVE,2026-12-31
SHELLPALMS CHEMIST (Kilifi),PPB/S/1560,BU202601151,SOLE PROPRIETOR,2021,OFF MOMBASA MALINDI ROAD,Kilifi,VALID,ACTIVE,2026-12-31
SHELLS CHEMIST (Kilifi),PPB/S/441,BU202601839,SOLE PROPRIETOR,2010,HOSPITAL RD,Kilifi,VALID,ACTIVE,2026-12-31
SHELLY ROAD CHEMIST,PPB/S/9458,BU202603353,SOLE PROPRIETOR,2025,SHELLY BEACH ROAD,,VALID,ACTIVE,2026-12-31
SHELTER PHARMACY (Kajiado),PPB/S/116,BU202605466,SOLE PROPRIETOR,2014,,Kajiado,VALID,ACTIVE,2026-12-31
SHELTON PHARMACY LTD,PPB/S/9123,BU202603409,PARTNERSHIP,2023,SIAYA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
SHEM-MED CHEMIST-RUIRU (Kiambu),PPB/S/899,BU202600727,SOLE PROPRIETOR,2012,MASHAMBANI,Kiambu,VALID,ACTIVE,2026-12-31
SHEMIA CHEMIST (Kilifi),PPB/S/1181,BU202607470,SOLE PROPRIETOR,2017,KENOL-KOBIL ROAD,Kilifi,VALID,ACTIVE,2026-12-31
SHEMIGEN PHARMACY,PPB/S/9030,BU202601085,SOLE PROPRIETOR,2022,MOWLEM/PHEROZE ROAD,Nairobi,VALID,ACTIVE,2026-12-31
SHERBA PHARMACY (Mombasa),PPB/S/734,BU202601845,SOLE PROPRIETOR,2013,MALINDI RD,Mombasa,VALID,ACTIVE,2026-12-31
SHERLY PHARMACY (Mombasa),PPB/S/1209,BU202606702,SOLE PROPRIETOR,2017,LIKONI ROAD,Mombasa,VALID,ACTIVE,2026-12-31
SHEROH MEDICARE CHEMIST,PPB/S/9305,BU202603499,SOLE PROPRIETOR,2024,MIREMA DRIVE,,VALID,ACTIVE,2026-12-31
SHERRY CHEMIST (Siaya),PPB/S/1517,BU202602528,SOLE PROPRIETOR,2020,NG'IYA-NDORI ROAD,Siaya,VALID,ACTIVE,2026-12-31
SHICHEM PHARMACY,PPB/S/9518,BU202604230,SOLE PROPRIETOR,2025,MWIHOKO ROAD,,VALID,ACTIVE,2026-12-31
SHIELD PHARMACEUTICALS LTD (Nairobi),PPB/S/41,BU202602789,PARTNERSHIP,1991,,Nairobi,VALID,ACTIVE,2026-12-31
SHIKAMED PHARMACY LIMITED (Kiambu),PPB/S/1464,BU202603166,PRIVATE COMPANY (LIMITED),2007,BUS PARK,Kiambu,VALID,ACTIVE,2026-12-31
SHIKAMED PHARMACY LTD (Kiambu),PPB/S/314,BU202603129,PARTNERSHIP,2007,MATHIGU RD,Kiambu,VALID,ACTIVE,2026-12-31
SHILMED CHEMIST (Uasin Gishu),PPB/S/1188,BU202603419,SOLE PROPRIETOR,2017,ITEN ELDORET,Uasin Gishu,VALID,ACTIVE,2026-12-31
SHILOH EYE ASSOCIATES LIMITED (Mombasa),PPB/S/8987,BU202601512,SOLE PROPRIETOR,2016,NYERERE AVENUE,Mombasa,VALID,ACTIVE,2026-12-31
SHILOH PALACE CHEMIST (West Pokot),PPB/S/1325,BU202603960,SOLE PROPRIETOR,2018,KACHELIBA-ALALE STREET,West Pokot,VALID,ACTIVE,2026-12-31
SHILOH PHARMA CHEMISTS (Nyeri),PPB/S/1433,BU202601958,SOLE PROPRIETOR,2019,MUKURWEINI-KARATINA ROAD,Nyeri,VALID,ACTIVE,2026-12-31
SHILOH PHARMACEUTICALS (Kitui),PPB/S/1637,BU202603562,PARTNERSHIP,2021,MWINGI GARISSA ROAD,Kitui,VALID,ACTIVE,2026-12-31
SHIMANZI TECH CHEMIST,PPB/S/9462,BU202600717,SOLE PROPRIETOR,2025,MAKUPA ROAD,,VALID,ACTIVE,2026-12-31
SHIMIL  PHARMACIES LIMITED,PPB/S/9504,BU202601212,PARTNERSHIP,2023,KINDARUMA ROAD,,VALID,ACTIVE,2026-12-31
