Facility Name,Registration No,License Number,Ownership,License Type,Establishment Year,Street,County,Licence Status,Facility Status,Valid Till
MATUU MISSION HEALTH CENTRE (Machakos),PPB/M/9338,BU202605432,PRIVATE COMPANY (LIMITED),HOSPITAL,1994,MATUU KATANGI ROAD,Machakos,VALID,ACTIVE,2026-12-31
MAUA COTTAGE HOSPITAL LIMITED (Meru),PPB/M/9265,BU202607929,PARTNERSHIP,HOSPITAL,2012,GACIONGO,Meru,VALID,ACTIVE,2026-12-31
MAXICARE SUNRISE LIMITED,PPB/M/9425,BU202602921,PRIVATE COMPANY (LIMITED),HOSPITAL,2021,KMTC ROAD,Bungoma,VALID,ACTIVE,2026-12-31
MEDCLIN CARE CENTRE (Nyeri),PPB/M/8640,BU202603229,SOLE PROPRIETOR,HOSPITAL,2016,KIMATHI STREET,Nyeri,VALID,ACTIVE,2026-12-31
MEDICATIA HOSPITAL LIMITED (Narok),PPB/M/8992,BU202602624,PRIVATE COMPANY (LIMITED),HOSPITAL,2018,NAROK NJORO ROAD,Narok,VALID,ACTIVE,2026-12-31
MEDICYL HOSPITAL CARE LIMITED (Mandera),PPB/M/9254,BU202601101,PRIVATE COMPANY (LIMITED),HOSPITAL,2018,MOYALE-TAKABA ROAD,Mandera,VALID,ACTIVE,2026-12-31
MEDIEARTH LIFECARE LIMITED,PPB/M/9508,BU202601059,PRIVATE COMPANY (LIMITED),HOSPITAL,2022,3RD AVENUE,Nairobi,VALID,ACTIVE,2026-12-31
MEDIJOY HEALTH CARE,PPB/M/9552,BU202606412,SOLE PROPRIETOR,HOSPITAL,2021,MERU-RAIRI RD,Meru,VALID,ACTIVE,2026-12-31
MEDILIFE HOSPITAL LIMITED (Kiambu),PPB/M/9269,BU202604624,SOLE PROPRIETOR,HOSPITAL,2021,NAZARETH  ROAD,Kiambu,VALID,ACTIVE,2026-12-31
MEDINA MEDICARE HOSPITAL WAJIR,PPB/M/9838,BU202603827,PRIVATE COMPANY (LIMITED),HOSPITAL,2015,MANDERA ROAD,,VALID,ACTIVE,2026-12-31
MEDISTAR HOSPITAL KERICHO LIMITED,PPB/M/9422,BU202602621,PRIVATE COMPANY (LIMITED),HOSPITAL,2006,HOSPITAL ROAD,Kericho,VALID,ACTIVE,2026-12-31
MEDONE HEALTH CENTRE LIMITED,PPB/M/10000,BU202604850,PRIVATE COMPANY (LIMITED),HOSPITAL,2024,SECOND AVENUE,,VALID,ACTIVE,2026-12-31
MEDSPLY HOSPITAL LIMITED,PPB/M/10222,BU202605621,PRIVATE COMPANY (LIMITED),HOSPITAL,2025,BUSIA MUMIAS ROAD,,VALID,ACTIVE,2026-12-31
MEDSTOPS HEALTH CARE KENYA LIMITED IKONGE (Nyamira),PPB/M/9355,BU202605127,PRIVATE COMPANY (LIMITED),HOSPITAL,2017,KEROKA-KERICHO ROAD,Nyamira,VALID,ACTIVE,2026-12-31
MEDVERSE COMMUNITY HOSPITAL,PPB/M/9470,BU202606488,PRIVATE COMPANY (LIMITED),HOSPITAL,2021,MIHANGO KIBIKO ROAD KWA CHIEF,Nairobi,VALID,ACTIVE,2026-12-31
MEDWIN MEDICAL CENTRE,PPB/M/9737,BU202605126,PRIVATE COMPANY (LIMITED),HOSPITAL,2017,THIKA ROAD,Kiambu,VALID,ACTIVE,2026-12-31
MEDWIN MEDICAL CENTRE-MURRAM,PPB/M/10110,BU202603075,PRIVATE COMPANY (LIMITED),HOSPITAL,2025,KENYATTA ROAD,,VALID,ACTIVE,2026-12-31
MEGALIFE HOSPITAL LIMITED,PPB/M/9460,BU202600130,PRIVATE COMPANY (LIMITED),HOSPITAL,2022,RUAI POLICE ROAD,Nairobi,VALID,ACTIVE,2026-12-31
MEMON MEDICAL CENTRE (Mombasa),PPB/M/527,BU202605910,PRIVATE COMPANY (LIMITED),HOSPITAL,2010,MAALIM JUMA,Mombasa,VALID,ACTIVE,2026-12-31
MEPHI HEALTH SERVICES (Kilifi),PPB/M/8628,BU202607328,PARTNERSHIP,HOSPITAL,2014,PRISON ROAD,Kilifi,VALID,ACTIVE,2026-12-31
MEPHI HEALTH SERVICES LTD (Lamu),PPB/M/9927,BU202607072,PRIVATE COMPANY (LIMITED),HOSPITAL,2018,SHAHASI ROAD,Lamu,VALID,ACTIVE,2026-12-31
MERCY HAVEN HOSPITAL LIMITED (Nandi),PPB/B/292,BU202605125,SOLE PROPRIETOR,HOSPITAL,2016,NANDI HILLS-SAMOEI ROAD,Nandi,VALID,ACTIVE,2026-12-31
MERCY MEDICAL CENTRE - MUGUTHA BRANCH,PPB/M/10208,BU202607661,PRIVATE COMPANY (LIMITED),HOSPITAL,2025,KANYANYAINI ROAD,,VALID,ACTIVE,2026-12-31
MERCY MISSION HOSPITAL.,PPB/M/9969,BU202607316,PRIVATE COMPANY (LIMITED),HOSPITAL,1968,KAPDENING,,VALID,ACTIVE,2026-12-31
MERCYLITE HOSPITAL LIMITED (Kiambu),PPB/M/9181,BU202606413,PRIVATE COMPANY (LIMITED),HOSPITAL,2019,GITOTHUA ROAD,Kiambu,VALID,ACTIVE,2026-12-31
MERIDIAN EQUATOR HOSPITAL-BUKANI ROAD (Nairobi),PPB/M/698,BU202601562,PRIVATE COMPANY (LIMITED),HOSPITAL,2016,BUKANI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
MERIDIAN MEDICAL CENTER -DONHOLM (Nairobi),PPB/M/657\'K,BU202607401,PRIVATE COMPANY (LIMITED),HOSPITAL,2012,OUTERING ROAD,Nairobi,VALID,ACTIVE,2026-12-31
MERU DOCTORS PLAZA LIMITED (Meru),PPB/M/8788,BU202605700,PRIVATE COMPANY (LIMITED),HOSPITAL,2017,MOI AVENUE MERU,Meru,VALID,ACTIVE,2026-12-31
MERU JORDAN HOSPITAL LIMITED (Meru),PPB/M/8633,BU202607323,PRIVATE COMPANY (LIMITED),HOSPITAL,2016,MERU-NANYUKI ROAD,Meru,VALID,ACTIVE,2026-12-31
MERU ROYAL MEDICAL CLINIC - ONGATA RONGAI (Kajiado),PPB/M/9148,BU202606282,SOLE PROPRIETOR,HOSPITAL,2020,RONGAI,Kajiado,VALID,ACTIVE,2026-12-31
METICULOUS NURSING HOME LIMTED (Nairobi),PPB/M/9455,BU202603067,PRIVATE COMPANY (LIMITED),HOSPITAL,2021,SORE ROAD,Nairobi,VALID,ACTIVE,2026-12-31
"METROCARE HEALTH CLINIC, USIU BRANCH",PPB/M/9740,BU202605123,PRIVATE COMPANY (LIMITED),HOSPITAL,2018,USIU ROAD,Nairobi,VALID,ACTIVE,2026-12-31
METROCARE IMAGING CENTRE LIMITED - SAMEER CLINIC (Nairobi),PPB/M/10032,BU202604983,PRIVATE COMPANY (LIMITED),HOSPITAL,2018,MOMBASA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
METROPOLITAN HOSPITAL PHARMACY (Nairobi),PPB/M/724,BU202605355,PRIVATE COMPANY (LIMITED),HOSPITAL,1914,RABAI RD,Nairobi,VALID,ACTIVE,2026-12-31
MFANGANO CENTRAL ADVENTIST MISSION HEALTH CENTER,PPB/M/9732,BU202603095,PRIVATE COMPANY (LIMITED),HOSPITAL,2022,SENA STREET,Homa Bay,VALID,ACTIVE,2026-12-31
MIKINDANI HOSPITAL LIMITED (Mombasa),PPB/M/9100,BU202607009,PRIVATE COMPANY (LIMITED),HOSPITAL,2019,798 PLAZA AREA MIKINDANI,Mombasa,VALID,ACTIVE,2026-12-31
MIKINDURI CATHOLIC CHURCH HEALTH CENTRE,PPB/M/9396,BU202605911,SOLE PROPRIETOR,HOSPITAL,2019,MERU-MIKINDURI,,VALID,ACTIVE,2026-12-31
MILIMANI LUXUM HOSPITAL LTD (Meru),PPB/M/8832,BU202605912,SOLE PROPRIETOR,HOSPITAL,2004,MERU RD,Meru,VALID,ACTIVE,2026-12-31
MILLER MEDICAL CENTRE,PPB/M/9875,BU202603083,SOLE PROPRIETOR,HOSPITAL,2024,MITIKENDA ROAD,,VALID,ACTIVE,2026-12-31
MINARET HOSPITAL LIMITED (Nairobi),PPB/M/9318,BU202607709,PRIVATE COMPANY (LIMITED),HOSPITAL,2020,ZANZIBAR ROAD,Nairobi,VALID,ACTIVE,2026-12-31
MINTO FAMILY HEALTHCARE SERVICES,PPB/M/9934,BU202600943,SOLE PROPRIETOR,HOSPITAL,2021,KEROKA NYANGUSU ROAD,,VALID,ACTIVE,2026-12-31
MINTO MEDICAL CENTRE (Kisii),PPB/M/9496,BU202605913,SOLE PROPRIETOR,HOSPITAL,2020,KISII - ASUMBI ROAD,Kisii,VALID,ACTIVE,2026-12-31
MIROGI MISSION HEALTH CENTRE,PPB/M/9517,BU202603118,PARTNERSHIP,HOSPITAL,2021,RODI/NDHIWA ROAD,Homa Bay,VALID,ACTIVE,2026-12-31
MISSION CARE HOSPITAL LIMITED,PPB/M/9809,BU202607593,PRIVATE COMPANY (LIMITED),HOSPITAL,2023,DELIVARANCE ROAD,,VALID,ACTIVE,2026-12-31
MISSION OF HOPE INTERNATIONAL-PANGANI CLINIC (Nairobi),PPB/M/8642,BU202605914,SOLE PROPRIETOR,HOSPITAL,2010,ZAMBARAU LANE,Nairobi,VALID,ACTIVE,2026-12-31
MKUNGA MATERNITY AND NURSING HOME (Nairobi),PPB/M/9348,BU202607127,PRIVATE COMPANY (LIMITED),HOSPITAL,2004,OFF KOMAROCK ROAD,Nairobi,VALID,ACTIVE,2026-12-31
MODESTY MEDICAL CENTRE LIMITED (Kirinyaga),PPB/M/865,BU202603077,PRIVATE COMPANY (LIMITED),HOSPITAL,2017,EMBU - NAIROBI HIGHWAY,Kirinyaga,VALID,ACTIVE,2026-12-31
MOI\'S BRIDGE MISSION HEALTH CENTRE (Uasin Gishu),PPB/M/796,BU202601580,PRIVATE COMPANY (LIMITED),HOSPITAL,2014,ELD-KTL RD,Uasin Gishu,VALID,ACTIVE,2026-12-31
MOKOWE MEDICAL CENTRE (Lamu),PPB/M/9661,BU202605122,PARTNERSHIP,HOSPITAL,2021,MOKOWE JETTY ROAD,Lamu,VALID,ACTIVE,2026-12-31
MOMBASA  CATHOLIC CBHC SERVICES (Mombasa),PPB/M/9322,BU202606414,PRIVATE COMPANY (LIMITED),HOSPITAL,2012,MIKINDANI ESTATE,Mombasa,VALID,ACTIVE,2026-12-31
MOMBASA CANCER CENTRE LLP (Mombasa),PPB/M/9131,BU202600137,PRIVATE COMPANY (LIMITED),HOSPITAL,2019,NYERERE AVENUE,Mombasa,VALID,ACTIVE,2026-12-31
MONTANA HOSPITAL (Mombasa),PPB/M/1094,BU202604836,PARTNERSHIP,HOSPITAL,2020,TUBMAN ROAD,Mombasa,VALID,ACTIVE,2026-12-31
MONTERI MEDICAL HOSPITAL (Kakamega),PPB/M/9305,BU202605915,PARTNERSHIP,HOSPITAL,2019,SABATIA-BUKURA-SIGALAGALA ROAD,Kakamega,VALID,ACTIVE,2026-12-31
MOTHER  TERESA  RODON  HEALTH CENTRE (Machakos),PPB/M/9204,BU202603110,PRIVATE COMPANY (LIMITED),HOSPITAL,2020,KIUNGANI,Machakos,VALID,ACTIVE,2026-12-31
MOTHER ANGELA HURUMA HOSPITAL,PPB/M/9450,BU202607482,PARTNERSHIP,HOSPITAL,2019,HURUMA ROAD,Laikipia,VALID,ACTIVE,2026-12-31
MOTHER FRANCISCA MISSION MATERNITY AND HEALTH CENTRE (Nandi),PPB/M/8532,BU202605744,SOLE PROPRIETOR,HOSPITAL,2016,NANDI KAMOBO STREET,Nandi,VALID,ACTIVE,2026-12-31
MOUNTAIN BALM MEDICAL CENTRE,PPB/M/9756,BU202605121,SOLE PROPRIETOR,HOSPITAL,2023,MBUNI ROAD,Nyeri,VALID,ACTIVE,2026-12-31
MOYALE MADINA MEDICAL AND SURGICAL CLINIC,PPB/M/9489,BU202605916,SOLE PROPRIETOR,HOSPITAL,2014,MARKET ROAD,Marsabit,VALID,ACTIVE,2026-12-31
MOYALE NURSING HOME (Marsabit),PPB/M/9042,BU202606456,PARTNERSHIP,HOSPITAL,2003,AL-HUDA ROAD,Marsabit,VALID,ACTIVE,2026-12-31
MTWAPA MEDICAL CLINIC AND NURSING HOME (Kilifi),PPB/M/9236,BU202605917,SOLE PROPRIETOR,HOSPITAL,2019,MOMBASA MALINDI,Kilifi,VALID,ACTIVE,2026-12-31
MUGUMO MEDICAL CENTRE PHARMACY (Kirinyaga),PPB/M/9231,BU202607034,SOLE PROPRIETOR,HOSPITAL,2013,KERUGOYA-KARATINA HIGHWAY,Kirinyaga,VALID,ACTIVE,2026-12-31
MUQIM  NURSING HOME LTD (Wajir),PPB/M/9282,BU202605120,PARTNERSHIP,HOSPITAL,2017,MOYALE BUTE ROAD,Wajir,VALID,ACTIVE,2026-12-31
MURANG'A UNIVERSITY OF TECHNOLOGY - PHARMACY,PPB/M/9560,BU202601651,PUBLIC COMPANY,HOSPITAL,2020,HEALTH UNIT,Murang'a,VALID,ACTIVE,2026-12-31
